rank,quality,priority,business,category,neighborhood,phone_whatsapp,website_found,instagram_found,google_maps,visible_problem,offer,first_message_ptbr,validation_needed,next_step
1,A,10,Buxixo bar & Restaurante,Restaurante / Pizzaria,Rio Vermelho,+55 71 30112646,,https://www.instagram.com/shantirestaurante,https://www.google.com/maps/search/?api=1&query=Buxixo%20bar%20%26%20Restaurante%20Salvador%20BA,Website não encontrado; Menu/catálogo online provável ausente; WhatsApp sem funil/CTA rastreável,Cardápio digital + WhatsApp pedidos + Google Business CTA + follow-up automático,"Olá, tudo bem? Vi o Buxixo bar & Restaurante em Salvador e percebi uma oportunidade de transformar WhatsApp e Google em mais pedidos: cardápio digital, botão de pedido mais direto e acompanhamento automático de clientes. Posso te mandar uma ideia rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
2,A,9,Supermercado Nova Ondina,Loja local,,+55 71 3356 5166,,,https://www.google.com/maps/search/?api=1&query=Supermercado%20Nova%20Ondina%20Salvador%20BA,Website não encontrado; Instagram não identificado; WhatsApp sem funil/CTA rastreável,Catálogo simples + WhatsApp atendimento + Google Business + ofertas rastreáveis,"Olá, tudo bem? Vi a Supermercado Nova Ondina em Salvador e percebi uma oportunidade simples de melhorar os contatos pelo WhatsApp/Google com catálogo rápido, CTA claro e mensagens automáticas. Posso te enviar uma ideia objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
3,A,8,Escola Tempo de Crescer,Escola / Curso,,+55 71 32703810,,,https://www.google.com/maps/search/?api=1&query=Escola%20Tempo%20de%20Crescer%20Salvador%20BA,Website não encontrado; Instagram não identificado; WhatsApp sem funil/CTA rastreável,Landing page de matrículas + formulário/WhatsApp + automação de interessados,"Olá, tudo bem? Vi a Escola Tempo de Crescer em Salvador e percebi uma oportunidade de melhorar a captação de interessados pelo Google/WhatsApp com uma página simples e atendimento automático inicial. Posso te enviar uma ideia objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
4,A,8,Manjericão,Restaurante / Pizzaria,,+55 71 999528288,,https://www.instagram.com/rest.manjericao/,https://www.google.com/maps/search/?api=1&query=Manjeric%C3%A3o%20Salvador%20BA,Website não encontrado; Menu/catálogo online provável ausente; WhatsApp sem funil/CTA rastreável,Cardápio digital + WhatsApp pedidos + Google Business CTA + follow-up automático,"Olá, tudo bem? Vi o Manjericão em Salvador e percebi uma oportunidade de transformar WhatsApp e Google em mais pedidos: cardápio digital, botão de pedido mais direto e acompanhamento automático de clientes. Posso te mandar uma ideia rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
5,A,8,Academia Gama Fitness,Academia,vasco da gama,+55 71 4141 6646,,,https://www.google.com/maps/search/?api=1&query=Academia%20Gama%20Fitness%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page + WhatsApp para matrícula/aula experimental + automação de follow-up,"Olá, tudo bem? Vi a Academia Gama Fitness e percebi uma oportunidade de captar mais interessados pelo WhatsApp com página simples, chamada para aula experimental/matrícula e follow-up automático. Posso te mandar uma ideia curta?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
6,A,8,Escola Estadual Visconde de Itaparica,Escola / Curso,Cabula,55 71 3384-8486,,,https://www.google.com/maps/search/?api=1&query=Escola%20Estadual%20Visconde%20de%20Itaparica%20Salvador%20BA,Website não encontrado; Instagram não identificado; WhatsApp sem funil/CTA rastreável,Landing page de matrículas + formulário/WhatsApp + automação de interessados,"Olá, tudo bem? Vi a Escola Estadual Visconde de Itaparica em Salvador e percebi uma oportunidade de melhorar a captação de interessados pelo Google/WhatsApp com uma página simples e atendimento automático inicial. Posso te enviar uma ideia objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
7,A,8,Centro Médico Alexander Fleming,Clínica / Consultório,,55 71 3247-8837,,,https://www.google.com/maps/search/?api=1&query=Centro%20M%C3%A9dico%20Alexander%20Fleming%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page de captação + pré-atendimento WhatsApp + agendamento/triagem + SEO local,"Olá, tudo bem? Vi o Centro Médico Alexander Fleming em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma página simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
8,A,8,CEO - Centro de Especialidades Odontológicas,Dentista / Clínica odontológica,Centro,+55 71 3611 6819,,,https://www.google.com/maps/search/?api=1&query=CEO%20-%20Centro%20de%20Especialidades%20Odontol%C3%B3gicas%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page de captação + pré-atendimento WhatsApp + agendamento/triagem + SEO local,"Olá, tudo bem? Vi o CEO - Centro de Especialidades Odontológicas em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma página simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
9,A,8,Selfday,Clínica / Consultório,,+55 7132372003,,,https://www.google.com/maps/search/?api=1&query=Selfday%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page de captação + pré-atendimento WhatsApp + agendamento/triagem + SEO local,"Olá, tudo bem? Vi o Selfday em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma página simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
10,A,8,Cliden,Dentista / Clínica odontológica,,+55 71 3264 2205,,,https://www.google.com/maps/search/?api=1&query=Cliden%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page de captação + pré-atendimento WhatsApp + agendamento/triagem + SEO local,"Olá, tudo bem? Vi o Cliden em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma página simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
11,A,8,Valter's Fitness,Academia,,+55 71 3035-4328,,,https://www.google.com/maps/search/?api=1&query=Valter%27s%20Fitness%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page + WhatsApp para matrícula/aula experimental + automação de follow-up,"Olá, tudo bem? Vi a Valter's Fitness e percebi uma oportunidade de captar mais interessados pelo WhatsApp com página simples, chamada para aula experimental/matrícula e follow-up automático. Posso te mandar uma ideia curta?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
12,A,8,Crescer,Clínica / Consultório,,+55 71 3264 5503,,,https://www.google.com/maps/search/?api=1&query=Crescer%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page de captação + pré-atendimento WhatsApp + agendamento/triagem + SEO local,"Olá, tudo bem? Vi o Crescer em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma página simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
13,A,8,Fisioclin,Clínica / Consultório,,+55 71 3245 4374,,,https://www.google.com/maps/search/?api=1&query=Fisioclin%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page de captação + pré-atendimento WhatsApp + agendamento/triagem + SEO local,"Olá, tudo bem? Vi o Fisioclin em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma página simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
14,A,8,Training Center,Academia,,+55 71 3264 4669,,,https://www.google.com/maps/search/?api=1&query=Training%20Center%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page + WhatsApp para matrícula/aula experimental + automação de follow-up,"Olá, tudo bem? Vi a Training Center e percebi uma oportunidade de captar mais interessados pelo WhatsApp com página simples, chamada para aula experimental/matrícula e follow-up automático. Posso te mandar uma ideia curta?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
15,A,8,Sofísio,Clínica / Consultório,,+55 71 3235 0490,,,https://www.google.com/maps/search/?api=1&query=Sof%C3%ADsio%20Salvador%20BA,Website não encontrado; Instagram não identificado; Online agendamento/lead capture provável ausente,Landing page de captação + pré-atendimento WhatsApp + agendamento/triagem + SEO local,"Olá, tudo bem? Vi o Sofísio em Salvador e notei uma oportunidade de captar mais pacientes pelo Google/WhatsApp com uma página simples, CTA claro e pré-atendimento automático. Posso te enviar uma sugestão rápida e objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
16,A,8,Escola Lápis de Cor,Escola / Curso,Pituba,,,,https://www.google.com/maps/search/?api=1&query=Escola%20L%C3%A1pis%20de%20Cor%20Salvador%20BA,Website não encontrado; Telefone/WhatsApp não visível no OSM; Instagram não identificado,Landing page de matrículas + formulário/WhatsApp + automação de interessados,"Olá, tudo bem? Vi a Escola Lápis de Cor em Salvador e percebi uma oportunidade de melhorar a captação de interessados pelo Google/WhatsApp com uma página simples e atendimento automático inicial. Posso te enviar uma ideia objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
17,A,8,Escola Colmeia,Escola / Curso,Pituba,,,,https://www.google.com/maps/search/?api=1&query=Escola%20Colmeia%20Salvador%20BA,Website não encontrado; Telefone/WhatsApp não visível no OSM; Instagram não identificado,Landing page de matrículas + formulário/WhatsApp + automação de interessados,"Olá, tudo bem? Vi a Escola Colmeia em Salvador e percebi uma oportunidade de melhorar a captação de interessados pelo Google/WhatsApp com uma página simples e atendimento automático inicial. Posso te enviar uma ideia objetiva?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
18,A,8,Barra Fitness,Academia,,,,,https://www.google.com/maps/search/?api=1&query=Barra%20Fitness%20Salvador%20BA,Website não encontrado; Telefone/WhatsApp não visível no OSM; Instagram não identificado,Landing page + WhatsApp para matrícula/aula experimental + automação de follow-up,"Olá, tudo bem? Vi a Barra Fitness e percebi uma oportunidade de captar mais interessados pelo WhatsApp com página simples, chamada para aula experimental/matrícula e follow-up automático. Posso te mandar uma ideia curta?",Verificar no Google Maps antes do contato,"Abrir Maps, confirmar se está ativo, conferir reviews/website, depois enviar mensagem manual pelo WhatsApp se o número estiver correto."
